Date,AAPL,AMZN,FB,GOOGL
2013-04-17,12.593016624450684,267.3999938964844,26.6299991607666,391.6716613769531
2013-04-18,12.25693130493164,259.4200134277344,25.690000534057617,383.3383483886719
2013-04-19,12.209412574768066,260.32000732421875,25.729999542236328,400.3353271484375
2013-04-22,12.463897705078125,263.54998779296875,25.969999313354492,400.4554443359375
2013-04-23,12.697123527526855,268.8999938964844,25.979999542236328,404.3543395996094
2013-04-24,12.676178932189941,268.7799987792969,26.110000610351562,407.13214111328125
2013-04-25,12.76746940612793,274.70001220703125,26.139999389648438,404.9549560546875
2013-04-26,13.043214797973633,254.80999755859375,26.850000381469727,401.1111145019531
2013-04-29,13.44714069366455,249.74000549316406,26.979999542236328,409.93994140625
2013-04-30,13.842937469482422,253.80999755859375,27.770000457763672,412.69769287109375
